content,score,,,,,,
""" KEPADA PIHAK WHATSAPP APLIKASI ANDA SANGAT MENGECEWAKAN SAYA TIDAK DAPAT MENAMBAHKAN ANGGOTA KELUARGA SAYA KE DALAM GRUP CHAT DAN TIBA TIBA AKUN WHATSAPP SAYA TERBLOKIR DENGAN SENDIRINYA, APLIKASI INI SANGATLAH BURUK"" ATAU APALAH GITU YANG PENTING ADA TEKS GABISA NAMBAHIN ANGGOTA KE DALAM grup",1,,,,,,
Halo WhatsApp,5,,,,,,
Bagus,5,,,,,,
Baik & oke,5,,,,,,
Bagus,5,,,,,,
Sanjay,1,,,,,,
Tolonglah ini kok ngebugg fiturnya,5,,,,,,
Bagus,5,,,,,,
Knp wA kna spam terus,5,,,,,,
ko keblokir terus sih,1,,,,,,
"setelah update jadi banyak errornya, ngechat 1 orang tiba"" ke ban spam. mau nambahin temen ke grup ke ban spam. kenapa sih? padahal wa ga dipake aneh"" dipake seperti biasanya",2,,,,,,
"Kalau kirim foto, video, bahkan stiker lemot banget padahal sinyalnya bagus2 aja",2,,,,,,
Ok,5,,,,,,
Setelah di update makin jancokk tidak sama sekali bisa menambahkan anggota ke grup meskipun satu keluarga,1,,,,,,
👍,4,,,,,,
Good,5,,,,,,
"Bagus, berguna bngtttttt",5,,,,,,
"WhatsApp ni gimana dah, kok sharelock kok gk bisa akurat sama sekali",1,,,,,,
"Makin Update Makin Rusak Aja Masa Telepon, Chat Teman Dan Buat Grup akun ini tidak dapat menggunakan Whatsapp karena spam. Tolong masalah seperti ini segera diperbaiki saya pengguna lama whatsapp namun makin update makin ga jelas aja whatsapp ni terimakasih dan mohon maaf saya kasih ratingw b1 karena saya sangat kecewa dengan pihak whatsapp",1,,,,,,
Ok mantapsss,5,,,,,,
Ok,5,,,,,,
Ok,5,,,,,,
Sejak mengunakan Whatsapp saya jadi mudah belajar bisnis,5,,,,,,
Bagus sekali,5,,,,,,
Lumayan bgs,2,,,,,,
Ko susah dapat kode verifikasi ya padahak jaringan lancar sinyal juga bagus,5,,,,,,
"Apa apan ini WhatsApp masa tau apa apa juga engga nomer saya di blok karna spam, keamanya ga bagus respon dari layansanya jga lambat",2,,,,,,
Semakin gak jelas whatsap sekarang masa akun tidak melanggar ketentuan apapun kena blok di tuduh melakukan spam. Tiap hari harus mengajukan banding terus!,1,,,,,,
Senang pakai aplikasi WhatsApp nya,5,,,,,,
Sangat Bagus,5,,,,,,
Armansyah,1,,,,,,
💋,5,,,,,,
fitur whatsapp sekarang kaya semakin gaada privasinya.posisi status juga acak acakan tolong dong kembaliin kaya dulu lagi.,1,,,,,,
Okee,5,,,,,,
Membantu untuk komunikasi,4,,,,,,
❤,5,,,,,,
tidak bisa di pakai karena ikuti arus menghapus telegram. saya tidak mau telegram saya di hapus,1,,,,,,
WhatsApp saya sangat mudah terkena spam tanpa sebab,1,,,,,,
bagus,5,,,,,,
Bagus sekali,2,,,,,,
bagus buat komunikasi,3,,,,,,
Ok,5,,,,,,
Ok,3,,,,,,
Terlalu sering di update+memori cepat penuh+kualitas makin menurun,2,,,,,,
bagus,5,,,,,,
apk anj notif ga masuk sw burem hapus aja,1,,,,,,
Bagus,5,,,,,,
Voice error,5,,,,,,
"Update parahhhhhh.. eror smuaaaa,story acakk",1,,,,,,
Kurang baik,5,,,,,,
Wa,5,,,,,,
Joooooossss,5,,,,,,
vc/foto/vidio coba di hd in dong burik banget,5,,,,,,
sngt baik,4,,,,,,
"Tolong kembalikan wa yg dulu...skrng jam status wa ga beraturan jamnya yg baru ketiban sama yg kmrin atau yg duluan, pas vc juga sambil chs ga naik2 biasanya naik, gpp ada fitur love dan yg lainya tapi kembaliin wa seperti dulu lagi yg statusnya beraturan sesuai jam... Terimakasih🙏🏻",2,,,,,,
WhatsApp penting bgt bagi semua orang pls,5,,,,,,
"WAnya tiba tiba akun di pratinjau, padahal baru di perbaharui, tapi malah kya ono",1,,,,,,
Yang terhormat admin whatshap saya mau bertanya whatsap saya baru 2 hari terblokir ini sudah terblokir lagi padahal saya tidak pernah melakukan pelanggaran mohon bantuannya trima kasih,5,,,,,,
Ganti terus,3,,,,,,
"Penerimaan suara telpon jelas, pesan- pesan lewat WhatsApp",4,,,,,,
"Tolong WhatsApp lebih diperbaiki lagi/sharing lagi aplikasinya.... terutama dibagiang saluran masa iyha ada saluran untuk slotnya mohon ditindak lanjuti yha... bahaya kalo sudah bermunculan saluran WhatsApp nya ada Unsur judi/ slot bahkan pengikutnya disaluranpun beribu"" bahkan berjuta"" disaluran judi/slot tersebut... Nih kalo ngak percaya ada Saluran namanya ""OFFICIAL PRAGMATIC PLAY"" itu isinya masarin slot!!!!...",3,,,,,,
""" KEPADA PIHAK WHATSAPP APLIKASI ANDA SANGAT MENGECEWAKAN SAYA TIDAK DAPAT MENAMBAHKAN ANGGOTA KELUARGA SAYA KE DALAM GRUP CHAT DAN TIBA TIBA AKUN WHATSAPP SAYA TERBLOKIR DENGAN SENDIRINYA, APLIKASI INI SANGATLAH BURUK""👎",1,,,,,,
Keren,5,,,,,,
Aplikasi apaan ini ga ada yg ngechat😭,1,,,,,,
"WhatsApp sangat buruk bagaimana saya tidak bisa menambahkan keluarga saya kedalam grub dalam jumlah banyak ,dan langsung terblokir",1,,,,,,
"KEPADA PIHAK WHATSAPP APLIKASI ANDA SANGAT MENGECEWAKAN SAYA TIDAK DAPAT MENAMBAHKAN ANGGOTA KELUARGA SAYA KE DALAM GRUP CHAT DAN TIBA TIBA AKUN WHATSAPP SAYA TERBLOKIR DENGAN SENDIRINYA, APLIKASI INI SANGATLAH BURUK"" GABISA NAMBAHIN ANGGOTA KE DALAM GROUP",1,,,,,,
Alus,5,,,,,,
"Kaka saya mau tanya kok orang ke-non ini WA masih ada kak? Ka tolong hapus orang seperti itu ya kak, saya kasih bintang 4 dulu ya kak makasi",5,,,,,,
"Aplikasi sangat buruk, ketika menambahkan anggota keluarga kedalam grup akun whatsapp saya tiba tiba keluar dan dibanned karena terdeteksi spam",1,,,,,,
Perbarui wa,2,,,,,,
Baik dan bagus,3,,,,,,
ok lah,5,,,,,,
"KEPADA PIHAK WHATSAPP APLIKASI ANDA SANGAT MENGECEWAKAN SAYA TIDAK DAPAT MENAMBAHKAN ANGGOTA KELUARGA SAYA KE DALAM GRUP CHAT DAN TIBA TIBA AKUN WHATSAPP SAYA TERBLOKIR DENGAN SENDIRINYA, APLIKASI INI SANGAT BURUK",1,,,,,,
sangat nembantu,5,,,,,,
Sangat bagus,5,,,,,,
Tolong tampilan status y di perbaiki seperti dulu sesuai urutan terbaru jgn di bikin random bikin pusing liat y,1,,,,,,
kamera saya jdi tidak full screen ...stelah update,3,,,,,,
Bagus pake banget,5,,,,,,
mantap.pisan.cocoklah,5,,,,,,
Kenapa wa sy gak bisa nongol,5,,,,,,
Ini gimana kok nambah kan anggota kena ban segera perbaiki,1,,,,,,
Luar biasa,4,,,,,,
Mantul pisan,5,,,,,,
Ok,5,,,,,,
suka bug saat akan telp padahal sinyal lancar wa tolol,1,,,,,,
dijit dikit perbahurui udah gak beres ni,4,,,,,,
"kalo mau buat status tuh kenapa jd pecah atau blur gitu sih? versi dulu engga gitu normal video/foto nya, itu aja sih yang disayangkan dari whatsapp selebihnya bagus",3,,,,,,
Tambahin fikter waktu pc dong biar kayak ig gitu pasti lucu,4,,,,,,
Good,4,,,,,,
Sangat bagus banget,5,,,,,,
Bagus lah,2,,,,,,
Mantaf,5,,,,,,
Ok,5,,,,,,
HALO MARK ZUCKERBEG SAYA INGIN MENGAJUKAN. PERTINJAWAN KARENA AKUN SAYA TERKENA BANNED PERMANEN SAYA TAU PERMINTAAN SAYA AKAN DI TOLAK TETAPI SAYA INGIN MEMINTA MAAFKAN SAYA KARENA SAYA MELANGGAR PERATURAN DAN PERSYARATAN WHATSAPP TETAPI SAYA INGIN MEMINTA MOHON SEGERA PULUHKAN NOMER SAYA DIKARENAKAN NOMER SAYA ADA BERKAS² KERJA DAN KENANG KENANGAN NOMER,1,,,,,,
bagus,5,,,,,,
Sangat bagus,5,,,,,,
Bagus,5,,,,,,
Gak bisa buka aplikasi whatsap,5,,,,,,
Mencari sesuatu,5,,,,,,
Mantapp,5,,,,,,
PT. Timaha,5,,,,,,
Keren,5,,,,,,
wa gy mna ini,5,,,,,,
Kurang Bagus untuk tampilan statusnya,5,,,,,,
Kenapa kok watsaap ku kok dispam terus,2,,,,,,
👌,4,,,,,,
Wa babu,1,,,,,,
Mantap😸,5,,,,,,
Ok,5,,,,,,
Setiap video call suara saya tidak terdengar,2,,,,,,
Good game,5,,,,,,
Bantuan bosku,5,,,,,,
"Bagus untuk aplikasi ini,",1,,,,,,
Lumayan suka lah poko nya,5,,,,,,
Aplikasi nya bagus hanya saja di hp saya wa nya ngak update jadi hp ini sama hp satu nya berbeda tampilan padahal hp nya sama merek nya .. kenapa ya kira2,5,,,,,,
Nice,5,,,,,,
Ko ga ada perubahan,5,,,,,,
Kurqngnya sistem pertahan dari wa yang membuat akun wa mudah di bobol,1,,,,,,
whatsapp makin gajelas cuma telepon ayang 3x langsung keban pas di tinjau di apknya pindah opsi malah jadi perma di ajukan lewat email nggaa bisa tolong perbaiksn nyaa,2,,,,,,
"Kenapa bisa lah wa ku bisa diblok , dikatain spam perbaiki dong gimana sih",1,,,,,,
Ok,5,,,,,,
Ini kenapa nomor saya kena spam padahal gk melakukan pelangran apapun..,1,,,,,,
Tampilkan,5,,,,,,
Di spam?,3,,,,,,
WhatsApp messenger mantul sobat,5,,,,,,
Kenapa tidak ada kunci chat di WhatsApp?,5,,,,,,
Bug ban,1,,,,,,
Terlalu bnyak bug,1,,,,,,
Ya kali jangan update lgi y hp gk muat,1,,,,,,
Sangat baik,5,,,,,,
Mantap,5,,,,,,
Skrng WhatsApp messenger malah jadi lebih menarik juga ya,5,,,,,,
Nice,5,,,,,,
apk nya update terus,3,,,,,,
Kenapa dgn apk ini akun saya tiba-tiba Terblokir trus sampe sekarang g bisa Di benerin klo di benerin ntar juga Terblokir lagi Tolong di perbaiki lagi,1,,,,,,
Kenapa sy di blokir wa sy,4,,,,,,
Udh di update tapi masih ga bisa,3,,,,,,
Oke,5,,,,,,
Bagus sekali,5,,,,,,
bagus,5,,,,,,
fitur like status ku kok ga muncul ya??,3,,,,,,
WA saya sepi krna dia sudah meninggalkanku,1,,,,,,
Bagus,5,,,,,,
Wa nomor baru kok masih sepam permasalahnya apa,1,,,,,,
"Chat sebelum'a di whatshapp koq pada ilang, itu kan ada chat atau dokumen penting. Koq whatshap makin kesini makin buruk pelayanan'a Tolong di perbaiki sistem'a update story photo dan video juga blur, buruk sekali Tolong di perbaiki Ganti photo profil di whatshapp terlihat blur, padahal sudah di grid dan kualitas gambar sudah HD tetapi pas ganti photo profil terlihat blur Tolong di perbaiki sistem'a agar photo gambar dan video bisa terlihat HD dan bagus",2,,,,,,
Info update,5,,,,,,
di punya ku tudak bisa di update tidak ada tanda love di status,3,,,,,,
No telfon tidak bisa,5,,,,,,
1 Ryfu,5,,,,,,
ini kenapa tiba² jadi ke blokir sendiri? padahal gk nyepam?!!,2,,,,,,
"Ajukan peninjauan,akun yang diblokir",2,,,,,,
Bagus,5,,,,,,
Ok bingit,5,,,,,,
Madang,5,,,,,,
Hebatt,5,,,,,,
Saya sangat suka,5,,,,,,
Ok,5,,,,,,
"Kok makin parah iklanya, mending pakai aplikasi lain",1,,,,,,
Bagus,5,,,,,,
Sem,5,,,,,,
kerenn pooollll,5,,,,,,
sangat baik untuk saya,5,,,,,,
Ok,5,,,,,,
"WhatsApp kok di aku enggak bisa bikin saluran sihh,dlu bisa sekarang gk bisaa,kok bisa gitu yah?,tapi tetep bagus kok😋",5,,,,,,
Kepada pihak whatsapp yang terhormat kenapa wa saya di blokir salah saya apa tolong beritahu saya tolong jelaskan beejuta pengguna whatsapp seluruh indonesia kenapa cuma whatsapp saya yang anda blokir,1,,,,,,
Tidak bisa menyalakan verifikasi 2 langkah,1,,,,,,
Ok,5,,,,,,
𝑴𝒆𝒏𝒈𝒈𝒖𝒏𝒂𝒌𝒂𝒏 𝒊𝒏𝒊 𝒎𝒆𝒏𝒖𝒓𝒖𝒕 𝒔𝒂𝒚𝒂 𝒕𝒆𝒓𝒍𝒂𝒍𝒖 𝒓𝒊𝒃𝒆𝒕 𝒎𝒆𝒎𝒐 𝒔𝒚𝒂 𝒊𝒏𝒊 𝒑𝒆𝒏𝒖𝒉 𝒎𝒆𝒏𝒈𝒂𝒑𝒂 𝒉𝒂𝒓𝒖𝒔 𝒔𝒆𝒈𝒆𝒓𝒂 𝒅𝒊 𝒖𝒑𝒅𝒂𝒕𝒆!!! 𓆩🤬𓆪 𓆩😡𓆪 𓆩👹𓆪 𓆩👿𓆪 𓆩😈𓆪,1,,,,,,
baguss,5,,,,,,
kok punyaku gaada fitur like story ya????????????????,5,,,,,,
kunci cht yang meresahkan... knapa haru ada kunci cht??,1,,,,,,
Sya sangat menyukai WhatsApp ini karna bisa buka komunikasi,5,,,,,,
Ok,5,,,,,,
Sangatvmenarik,5,,,,,,
Uuyy,5,,,,,,
Pakai Wa GB aja GK bisa diblok Sok asik Padahal Enak Lo pakai Wa GB malah gbsia Kalo Diblok terus Keluarin Aja Fitur GB Daripada diblok terus Fitur GK ada yg bagus di wa resmi,1,,,,,,
Trimkasih,5,,,,,,
"Klo prifasi orang whtsap jngn tr lalu kepo. Ktanya aman. ""Ga kebaca pihak mna pun?"" Klo apa yg di ucap dipertnggung jwbkan kan.1* aj deh klo ud bisa komtmen dengan yg di atas. Baru ksi Bintang 7.klo bisa plus bubuknya. Cept sembuh ya.?",1,,,,,,
"tingkat performa,eksistensi,kualitas,kuantitas,progresif untuk keutamaan pengguna platrform apk tersebut.",4,,,,,,
Bagus kak MANTAPO,4,,,,,,
OK,5,,,,,,
Baik bermanfaat,5,,,,,,
Bagus,5,,,,,,
Sangat baik,5,,,,,,
Aplikasi nya oke,3,,,,,,
"Goblog luh tolol! Sinyal lagi bagus. FULL. Gua lagi nge prank, whatsapp nya malah sinyal tiba² ngelag. Padahal sinyal bagus banget. Sebelumnya juga bagus² aja. Giliran gua lagi ngeprank, langsung ngedown! Jadi Gagal tuh gara-gara lu!",1,,,,,,
Ppo,4,,,,,,
bagus,5,,,,,,
Punyaku Kok ngak bisa pesan suara ya?,1,,,,,,
Adanya komunitas judi online,1,,,,,,
Ok,5,,,,,,
"tolong diperbaiki kenapa kalau lagi telfon/vc suka mati"" sendiri pas udh berjam"" lebih 🙏🙏",2,,,,,,
Mantap,5,,,,,,
Bagus,5,,,,,,
Mantap,3,,,,,,
Pembaruan kok terusss,5,,,,,,
"harusnya sediain love versi BIG, biar layarnya full😇",1,,,,,,
Baguss,5,,,,,,
Iya,5,,,,,,
Bagus,5,,,,,,
Bekerja 0ptimis .,5,,,,,,
Tolong Wa bisa di Upadate,5,,,,,,
kenapa ya ko g ada fitur like story padahal udah update lohhhh,1,,,,,,
Bgus,5,,,,,,
Akun saya sering diblokir sementara oleh pihak WhatsApp gak tau kenapa sekarang WhatsApp sering eror,1,,,,,,
1. Kenapa saya tidak bisa masuk akun whattsap saya kena spam.. Mohon kembalikan akun whattsap saya. 2. Kenapa ketika menerima notif WA.. Tidak muncul gambar profil WA teman biasanya muncul. 3. Semoga WA perubahannya semakin baik.. Minta tolong di perbaiki WAnya menjadi lebih bagus lagi tampilannya. Terimakasih.. ☺☺,1,,,,,,
Bagus banget aku bisa chat orang serumahh 👍🏻🕊️,5,,,,,,
Bagus,5,,,,,,
Tolong buka lagi blokiran WhatsApp saya,5,,,,,,
Sangat suka,5,,,,,,
Mengapa wa saya hilang,5,,,,,,
Sangat bguss,5,,,,,,
Tanpa problem,5,,,,,,
Sangat membantu,5,,,,,,
Sangat bagus,5,,,,,,
menginstal seabad lama na,1,,,,,,
Ok,5,,,,,,
Kenapa ngk bikin wa,5,,,,,,
aplikasi nya ga bagus masa gua chat cewek ga pernah dibales,1,,,,,,
"Jelek banget setelah update, tolong kembalikan versi yg dulu ,",1,,,,,,
Yg wa resmi itu yg mna si tolol ini gw da download tapi aja gbisa masuk tulisan download wa resmi WA RESMI TU YG MANAA!!!! TOLOL BEGO IDIOT,3,,,,,,
mantap 👍👍,5,,,,,,
Ok,2,,,,,,
Versi sebelumnya baik baik saja kok setelah update vn gak ada suara 🤦‍♂️,3,,,,,,
"Di update versi terbaru malah gak jelas banget, status buram. Ganti walpaper chat gak bisa. Ngerekam video call gak bisa. Gak sebagus versi lama bukannya lebih bagus lebih baik, malah lebih jelek dan lebih buruk!",1,,,,,,
"Pas mau bikin sw gk bisa, itu kenpa???",3,,,,,,
Karna berguna 😊😊😊😊😊,5,,,,,,
mantap sekali utk Bukittinggi dan sekitarnya...,4,,,,,,
"Ngapa cuma wa gw yang ga bisa bikin sw lebih dari 30detikk, orang-orang pada bisaa ko di wa gw ga bisaaa yaa?? Padahal udah pake versi terbaru, udah update tetep aja ga bisa. Gembel banget si ni aplikasi, ga konsisten sama sekali",1,,,,,,
Good aplication,5,,,,,,
Knp yaa WhatsApp ku sudah yang terbaru tapi tampilannya ga berubah masih kayak yang versi lama.?,1,,,,,,
Sangat berguna,5,,,,,,
WhatsApp Bikin jadi lebih,5,,,,,,
👍,5,,,,,,
saya benci watsap gegara teman saya,1,,,,,,
Min klo bikin aplikasi yang bnr dikit Napa ini gw kga ada cwe sama sekali min,2,,,,,,
"Untuk Develope, TOLONG di update dan diperbaiki, kalau Upload Vidio di story Di buat HD, jgn seperti ini, pecah vidio nya, gak jelas jadi nya..",3,,,,,,
whatsap nyaa tidak bisa di update,1,,,,,,
bgus,5,,,,,,
bagus,5,,,,,,
Untuk update penambahan fitur² baru ini sangat membantu tapi malah ada bug lain seperti posisi status yg ga urut yg lama sma yg baru Semoga bisa cepet di perbaiki untuk yg lainnya bagus,5,,,,,,
Mantap,5,,,,,,
Banyak bug kont,2,,,,,,
Tolong bantu melihat chat rahasia di bagian kalo sudah di kunci,3,,,,,,
Tolong di perbarui lagi Kendala ketika scroll chatingan di grup tiba² loncat jauh ke 1 hari yang lalu,3,,,,,,
Terbaik,5,,,,,,
"Perasaan update mulu tapi resolusi story nya Masi jelek bgt sampe ga jelas video nya yg di upload di status, tolong buat kedepannya kalo update sekalian naikin resolusi status nya biar jernih dan bagus.",3,,,,,,
Baik,5,,,,,,
Keren,5,,,,,,
Tidak muncul di menu,5,,,,,,
Tambah ruwet aplikasi ini sekarang,5,,,,,,
kenapa aku tidak ada like nyaa!????????,1,,,,,,
bgus,5,,,,,,
Suka sih sama aplikasi ini jadi lebih suka bersosialisasi dengan teman dan keluarga,5,,,,,,
ada orang ngirim alamat ko d sayaha ngga ada,5,,,,,,
Good,5,,,,,,
Mohon di perbaiki lagi kualitas nya,5,,,,,,
"Tampilan story nya berubah jadi jelek, Bagus yang dulu tolong dong jadi in seperti dulu",2,,,,,,
punyaku ga ada love storynyaa,1,,,,,,
Sangat berguna membantu sekali,5,,,,,,
Aplikasi apa ini udah donwlod gada satu pun yang chat aplikasi burukk,1,,,,,,
Kenapa penginstalan diperangkat hp tdk bisa maksudnya gmn ini pdhl sudh tertera kalo sudh berhasil diinstal,3,,,,,,
Maap,5,,,,,,
"Saya keluar masuk dari WhatsApp di karenakan spam,dan saya masuk tetapi berulang x meminta kode verifikasi tidak saya terima,saya mohon sekali dari tim WhatsApp membantu saya, WhatsApp terbaik dan saya sangat terbantu karna adanya WhatsApp,saya mohon bantu keluhan saya",5,,,,,,
"Knp punya Q masih ga da fitur like nya, padahal udh update? Video SW nya juga masih 30detik",1,,,,,,
Ok,5,,,,,,
"ini kenapa si wa makin kesini makin gajelas setiap nlpon orang, kalo buka apk lain atau buka foto/video selalu mati terus? lebih suka wa dulu di banding wa yang banyak update tapi pada gajelas",1,,,,,,
Terbaik,5,,,,,,
Story wa tidak berurutan dengan waktu,3,,,,,,
"Tolong dong fitur tlpn nya jangan bikin org overthinking, kalo di wa ceklis dua abu terus pas ditelepon memanggil mohon lah kerja sama nya",3,,,,,,
Magis magis karmilaNok,3,,,,,,
Butuh apgret,5,,,,,,
Top,4,,,,,,
Ok,5,,,,,,
Saya sangat senang memakai aplks ini,5,,,,,,
Good job,5,,,,,,
Sangat rekomended,5,,,,,,
Aplikasi sangat penting bagi orang-orang,5,,,,,,
Bagus,5,,,,,,
kualitas video wa sangat Burik sekarng tdk seperti dulu,1,,,,,,
Aplikasinya bagus,5,,,,,,
👍,4,,,,,,
"Wa skr npe sih JD ngaco tampilan sttus g bisa full contact trliat. N ad panggilan jg gda pmbritahuan JD tlat g trima TLP,bkny mkin bgus makin ancur ini apk ngirim gambar/video slu gagal padahal jaringan stabil .mohon dbalikin LG sprti dlu apk wa ini",2,,,,,,
Pekerja tambak,5,,,,,,
Bgusss bngt,5,,,,,,
Mntap,4,,,,,,
SANGAT BAGUS PENTING BANGET BAGI SAYA,5,,,,,,
Oke,5,,,,,,
Ok,5,,,,,,
Mntap,5,,,,,,
Bagus kali,5,,,,,,
"Sangat membantu apl ini, thank's you somat's",5,,,,,,
Bagus.,5,,,,,,
Karena WhatsApp saya bisa cet dengan orang tre dekat,5,,,,,,
"Parah,gw di ban terus padahal gw GK spam parah wa ini personal banget. . . peliese yah wa saya kasih bintang ,1 soalnya saya dah muak di ban terus padahal saya tidak sp sama sekali 🙏",1,,,,,,
publik,5,,,,,,
Masalah cuma 1 hanya di story.,3,,,,,,
Makin rusak gak bisa pemulihan data dari email,1,,,,,,
Kembalikan SW urutannya by time kyk dulu,1,,,,,,
Inimah aplikasi wajib,5,,,,,,
Mantap,5,,,,,,
Wa saya selalu terblokir pas saya coba pake hp temen saya wa saya bisa dipake,1,,,,,,
Tidak bisa di upgrade,1,,,,,,
Sangat mebantu,5,,,,,,
Ada masalah,5,,,,,,
Oke,5,,,,,,
Bagus banget,5,,,,,,
Oke,5,,,,,,
Sangat membantu dalam bekerja,5,,,,,,
Ok,5,,,,,,
Ok,5,,,,,,
"saat sedang vc kamera tidak bisa kembali on, sudah diaktifkan sama aja tetap tidak bisa on",1,,,,,,
Tolong aktifitas wanya,5,,,,,,
Sering tidak ada suara,2,,,,,,
"Sumpah kecewa banget Ama WhatsApp sekarang,ngak ada salah apa2 kena banned Mulu,ini udah yang ke 5x dalam Minggu ini",1,,,,,,
Bnyak iklan,3,,,,,,
Lelet,5,,,,,,
Baik dan bermanfaat,5,,,,,,
Susah ngapdet tapi bagus banget,5,,,,,,
WhatsApp,5,,,,,,
Bagus,5,,,,,,
Saya,5,,,,,,
Bagus,5,,,,,,
iki ke opo likenya ora iso,4,,,,,,
kalok di update gak ada perubahan nya 🙄🙄🦅🦅 ya maap sih tapi emang fakta aowka9wkwokwo,1,,,,,,
"Hai, trmksh sudah menciptakan aplikasi yang bermanfaat ini, ini sangat membantu, kami sangat menikmati fitur2 yang ad, tapi tolong tambahkan jga fitur repost, kayaknya seru deh🥹❤️, terimakasih.....",5,,,,,,
good,5,,,,,,
sangat puas,5,,,,,,
Kenapa wa saya saat di buka suka keluar sendiri dan saat dibuka lagi ada tulisan telah terjadinya bug di wa dan saya sudah mengikuti langkah langkah nya tapi masih sama saja tolong bagi pihak wa benarkanlah wa itu kenapa suka bug,5,,,,,,
Baik dan penyesuain,4,,,,,,
Kenapa tidak bisa masuk ke whatsapp ya padahal no saya sudah terdaptar lama tiba2 saja tidak bisa,4,,,,,,
Sangat baik di gunakan,5,,,,,,
Baik,5,,,,,,
Baik,5,,,,,,
Muantapppp,5,,,,,,
Apa apaan.. ku kira hp ku yg rusak ternyata emang banyak yg sistem wa nya GK berfungsi.. Lagu atau audionya GK bisa masuk ke perangkat musik padahal udh berkali kali di update bahkan sempat beberapa kali di hapus tapi sama aja!!!,2,,,,,,
"tolong ya untuk WhatsApp kalo udah sering ke blokir sementara harus liat’lagi jgn asal, saya sering ke blokir sementara skrg ngechat ke nomor yang udah dikenal juga malah sering bgt ke blokir lagi.",2,,,,,,
Bagus,5,,,,,,
bagus saya jadi ldr an sm dia,5,,,,,,
Keren banget lhoo iki,5,,,,,,
Sugeng Ndalu Lur Mugi2 Panjenengan Sedoyo Dirahmati Dan Dimuliakan Alloh SWT Amin YRA 👍🙏,5,,,,,,
"KALO LAGI NELPON SUARA ORANG KEDENGARAN KE HP GUA TAPI KAGAK ADA SUARA DI HP ORANG LAIN, PERBAIKI LAH LOLOT",1,,,,,,
Aplikasi bodoh saya sudah menggunakan WhatsApp resmi di playstore tapi tetap gak bisa juga 😡👎,1,,,,,,
selama ini wa sangat membantu sy dlm menjalani komunikasi dan interaksi kepada tema2 tp kenapa skrg sy tidak bisa menggunakan wa LG.tks,5,,,,,,
kookk ga bisa ngikutin saluran si??padahal udah di update,2,,,,,,
tidak bisa ganti nama,3,,,,,,
baik,5,,,,,,
Sangat bagus,3,,,,,,
Karena sangatlah bagus,5,,,,,,
Kenapa ini whatsapp kena spam terus tolong di perbaikin,1,,,,,,
Toppppp bnget pokoknya,5,,,,,,
Buruk,1,,,,,,
ketika bikin status blur tolong perbaiki,3,,,,,,
